,"Variable Name","hid","sbsk1","demo","sbsk1_demo","safi_lr04","safi_sr04","subsidy","fullprice","choice","buy","reminder","choice_return","buy_safi_sr04","house_ever_anyfert_04","house_ever_anytreat_04","house_ever_hyb_04","house_ever_anyfert_05","house_ever_anytreat_05","house_ever_hyb_05","house_lastyear_anyfert_04","house_lastyear_anytreat_04","house_lastyear_anyfert_05","house_lastyear_anytreat_05","educ_04","income_04","formalincome_04","mud_walls_04","mud_floor_04","thatch_roof_04","wives_04","gender_04","gender_05","std5parent","std6parent","father_wives_04","bio_sibs_04","sibs_04","own_kids_04","oth_kids_04","kids_04","own_land_04","own_land_rent_04","own_land_rentacres_04","own_land_rentamt_04","rent_land_04","rent_land_acres_04","rent_land_amt_04","anyfert_plus1_05","anyfert_plus2_05","anyfert_plus3_05","anytreat_plus1_05","anytreat_plus2_05","anytreat_plus3_05","ftd_plus1_05","ftd_plus2_05","ftd_plus3_05","fap_plus1_05","fap_plus2_05","fap_plus3_05","hyb_plus1_05","hyb_plus2_05","hyb_plus3_05","man_plus1_05","man_plus2_05","man_plus3_05","qtyfert_plus1_05","qtyfert_plus2_05","qtyfert_plus3_05","acres_plus1_05","acres_plus2_05","acres_plus3_05","ftd_all_plus1_05","ftd_all_plus2_05","ftd_all_plus3_05","fap_all_plus1_05","fap_all_plus2_05","fap_all_plus3_05","hyb_all_plus1_05","hyb_all_plus2_05","hyb_all_plus3_05","bought_anyfert_LR04","bought_DAP_LR04","bought_DAP_kg_LR04","bought_DAP_ksh_LR04","bought_CAN_LR04","bought_CAN_kg_LR04","bought_anyfert_SR04","bought_CAN_ksh_LR04","bought_total_ksh_LR04","bought_DAP_SR04","bought_DAP_kg_SR04","bought_DAP_ksh_SR04","bought_CAN_SR04","bought_CAN_kg_SR04","bought_CAN_ksh_SR04","bought_total_ksh_SR04","safiLR04_what_05","safiSR04_what_05","subsidy_what_05","deliver_date_LR04","sold_maize_gg_LR04","sold_maize_ksh_LR04","deliver_date_SR04","sold_maize_SR04","sold_maize_gg_SR04","sold_maize_ksh_SR04","sold_maize_harv_SR04","sold_maize_harv_gg_SR04","sold_maize_harv_ksh_SR04","remind_bought_fap","remind_bought_ftd","remind_bought_fap_qty","remind_bought_ftd_qty","remind_plan_fap","remind_plan_ftd","remind_planorbuy_fap","remind_planorbuy_ftd","remind_planorbuy_anyfert","school1","school2","school3","school4","school5","school6","school7","school8","school9","school10","school11","school12","school13","school14","school15","school16"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","str5","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","float","int","byte","byte","byte","byte","byte","byte","byte","byte","byte","int","byte","int","int","int","float","byte","float","float","byte","float","float","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","float","float","float","float","float","float","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","int","byte","float","byte","int","int","byte","float","int","byte","float","float","float","str3","str3","str3","str8","byte","int","str11","byte","int","int","byte","byte","int","byte","byte","float","int","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte"
,"Decimal","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","7","","7","6","","3","6","","","","","","","","","","","","","","","","","","","1","2","2","2","3","4","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
,"Interval","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","","","DISCRETE","","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","","","","","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","","","","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE"
,"Dataset Label","Household ID Number","Dummy = 1 if household sampled for starter kits","Dummy = 1 if household sampled for demonstration plot program","sbsk1 * demo","Dummy = 1 if household sampled for SAFI in 2004 Long Rains","Dummy = 1 if household sampled for SAFI in 2004 Short Rains","Dummy = 1 if household sampled for 1/2 price subsidy in 2004 Short Rains","Dummy = 1 if household sampled for full price visit in 2004 Short Rains","Dummy = 1 if household sampled for SAFI with timing choice in 2004 Short Rains","Dummy = 1 if household sampled to have maize bought in 2004 Short Rains","Dummy = 1 if household sampled for reminder intervention","For those w/ timing choice, choice of date to get SAFI (1-harvest, 2-planting, 3","buy * SAFI in 2004 Short Rains","has HH ever used fertilizer, 2004","has HH ever used fert or hyb seeds, 2004","has HH ever used hyb seeds, 2004","household had ever used fertilizer prior to 2005","household had ever used fertilizer or hybrid seeds prior to 2005","household had ever used hybrid seeds prior to 2005","has HH used fertilizer in last year, 2004","has HH used fert or hyb seeds in last year, 2004","household had ever used fertilizer in previous year (pre 2005)","household had used fertilizer or hybrid seeds in previous year (pre 2005)","years education","income in past month","formal income in past month","Dummy = 1 if household has mud walls","Dummy = 1 if household has mud floor","Dummy = 1 if household has thatch roof","# of wives of household head","gender (1-male, 0-female) for 2004 survey","gender (1-male, 0-female) for 2005 survey","Dummy = 1 if parent of child in standard 5","Dummy = 1 if parent of child in standard 5","# of wives of respondent's father","# of biological siblings","# of total siblings, 2004 quest","# of own children","# of other children caring for","total # of children","acres of land owned","does respondent rent his own land?","if yes, how many acres","if yes, how much do they get in rent?","does respondent rent land from somebody else?","if yes, how many acres","if yes, how much do they pay in rent?","did HH use any fertilizer in 1st season after long rains 2004?","did HH use any fertilizer in 2nd season after long rains 2004?","did HH use any fertilizer in 3rd season after long rains 2004?","did HH use any treatment in 1st season after long rains 2004?","did HH use any treatment in 2nd season after long rains 2004?","did HH use any treatment in 3rd season after long rains 2004?","did HH use fertilizer @ top dressing in 1st season after long rains 2004?","did HH use fertilizer @ top dressing in 2nd season after long rains 2004?","did HH use fertilizer @ top dressing in 3rd season after long rains 2004?","did HH use fertilizer @ planting in 1st season after long rains 2004?","did HH use fertilizer @ planting in 2nd season after long rains 2004?","did HH use fertilizer @ planting in 3rd season after long rains 2004?","did HH use hybrid seeds in 1st season after long rains 2004?","did HH use hybrid seeds in 2nd season after long rains 2004?","did HH use hybrid seeds in 3rd season after long rains 2004?","did HH use manure in 1st season after long rains 2004?","did HH use manure in 2nd season after long rains 2004?","did HH use manure in 3rd season after long rains 2004?","quantity (kgs) of fertilizer used in 1st season after long rains 2004","quantity (kgs) of fertilizer used in 2nd season after long rains 2004","quantity (kgs) of fertilizer used in 3rd season after long rains 2004","acres planted in 1st season after long rains 2004","acres planted in 2nd season after long rains 2004","acres planted in 3rd season after long rains 2004","Dummy = 1 if used top dressing fert. On entire maize crop in 1st season after LR","Dummy = 1 if used top dressing fert. On entire maize crop in 2nd season after LR","Dummy = 1 if used top dressing fert. On entire maize crop in 3rd season after LR","Dummy = 1 if used planting fert. On entire maize crop in 1st season after LR04","Dummy = 1 if used planting fert. On entire maize crop in 2nd season after LR04","Dummy = 1 if used planting fert. On entire maize crop in 3rd season after LR04","Dummy = 1 if used hybrid seeds On entire maize crop in 1st season after LR04","Dummy = 1 if used hybrid seeds On entire maize crop in 2nd season after LR04","Dummy = 1 if used hybrid seeds On entire maize crop in 3rd season after LR04","Dummy = 1 if bought any fertilizer through program in LR 04","Dummy = 1 if bought DAP through program in LR 04","KGs DAP bought in LR04","KGs DAP bought in LR04","Dummy = 1 if bought CAN through program in LR 04","KGs CAN bought in LR04","Dummy = 1 if bought any fertilizer through program in SR 04","Ksh CAN bought in LR04","total Ksh spent from SAFI, 2004 LR","Dummy = 1 if bought DAP through program in SR 04","KGs DAP bought in SR04","Ksh DAP bought in SR04","Dummy = 1 if bought CAN through program in SR 04","KGs CAN bought in SR04","Ksh CAN bought in SR04","total Ksh spent from SAFI, subsidy, or fullprice, 2004 SR","If didn't use fertilizer from LR04 SAFI, what did the farmer do with it? 1 - gav","If didn't use fertilizer from SR04 SAFI, what did the farmer do with it? 1 - gav","If didn't use fertilizer from SR04 subsidy, what did the farmer do with it? 1 - ","requested delivery date Long Rains 04","goro-goros maize sold LR04","Ksh maize sold LR04","requested delivery date Short Rains 04","Dummy = 1 if sold maize in SR 04","goro-goros maize sold SR04","Ksh maize sold SR04","Dummy = 1 if sold maize through 'buy' treatment in SR 04","goro-goros maize sold in 'buy' treatment SR04","Ksh maize sold in 'buy' treatment SR04","Reminder followup: had bought fertilizer @ planting","Reminder followup: had bought fertilizer @ top dressing","Reminder followup: qty of fertilizer @ planting purchased","Reminder followup: qty of fertilizer @ top dressing purchased","Reminder followup: was planning to buy fertilizer @ planting","Reminder followup: was planning to buy fertilizer @ top dressing","Reminder followup: had bought OR was planning to buy fertilizer @ planting","Reminder followup: had bought OR was planning to buy fertilizer @ top dressing","Reminder followup: had bought OR was planning to buy any fertilizer","Dummy for parent of School #1","Dummy for parent of School #2","Dummy for parent of School #3","Dummy for parent of School #4","Dummy for parent of School #5","Dummy for parent of School #6","Dummy for parent of School #7","Dummy for parent of School #8","Dummy for parent of School #9","Dummy for parent of School #10","Dummy for parent of School #11","Dummy for parent of School #12","Dummy for parent of School #13","Dummy for parent of School #14","Dummy for parent of School #15","Dummy for parent of School #16"
,"Imputed?","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
,"Unit of Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Question Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Ques. Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Valid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","text","text","text","text","","","text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0",".25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Max","","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","15","81210","16000","1","1","1","3","1","1","1","1","5","999","20","999","999","999","60","1","10","50000","1","2004","40000","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","2","2","2","544","200","408","500","6","6","1","1","1","1","1","1","1","1","1","1","1","14","490","1","10","1","300","490","1","25","1000","1","35","980","1140","","","","","10","300","","2","207","7245","1","5","233","1","1","555","555","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Universe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Invalid Ranges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Min","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sum Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total Responses","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","195","225","1230","923","923","922","944","944","944","898","889","879","878","922","854","896","922","922","922","922","901","916","1230","1230","883","920","845","912","918","902","777","922","924","923","922","921","924","877","757","903","877","755","902","878","757","902","878","757","902","878","755","902","849","728","875","805","703","789","931","931","932","189","178","231","207","157","278","137","65","220","242","242","242","242","242","242","703","242","242","699","699","696","702","702","701","704","65","131","93","65","241","242","161","415","145","144","231","231","141","194","195","192","193","150","172","194","193","193","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230","1230"
,"Mean","",".5390244",".4772358",".2764228",".2121951",".2504065",".1666667",".1658537",".2544715",".2707317",".4512821","1.76",".0666667",".4268689",".5200433",".3882863",".4036017",".5116525",".3252119",".2327394",".2924634",".2855518",".3291572","7.066161","2682.993","383.1116",".8806941",".8579176",".5260304","1.295011",".5105438",".44869",".5065041",".4934959","1.924122","8.032609","8.730178","10.04934","2.823529","11.64967","5.344615",".0715835",".1113085","375.1661",".2722343","4.696526","704.3957",".3648803",".3870542",".4429679",".4093501",".410596",".5133038",".2539863",".2681638",".2849224",".2699317",".2404227",".3381375",".1731207",".1006623",".2638581","1.601885","1.644231","1.594286","8.186957","4.102063","11.49208","1.323652",".5315199",".8678138",".7989418",".7359551",".7922078",".7777778",".6687898",".7517986",".8175182",".8461538",".7181818",".3057851",".214876",".5165289","17.78926",".1363636",".322314",".3698435","9.545455","27.33471",".1816881",".6437768","22.70115",".2492877",".8810541","24.44579","46.7848","","","","",".2074689","6.322314","","1.645783","11.77931","401.7986",".5064935","2.354978","143.4184",".3402062",".2","155.4948","162.6736","0",".3604651",".3402062",".5181347",".6062176",".0430894",".0617886",".1105691",".0447154",".0813008",".0747967",".0520325",".0788618",".101626",".0626016",".0373984",".0430894",".0479675",".0658537",".0317073",".0626016"
,"Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Mean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Stdev. ","",".4986775",".4996847",".4474103",".4090286",".4334234",".3728296",".3721005",".4357409",".4445185",".4989018",".821149",".2495453",".4948911",".499869",".4876248",".4908794",".5001292",".4687023",".422813",".4551501",".451934",".470175","4.094561","6442.993","1698.102",".324324",".3493242",".499593",".5983664",".5001665",".497632",".5001611",".5001611","1.031211","46.36663","4.366026","56.9261","32.97974","57.17541","5.692091",".257937",".6198469","2810.549",".4453514","80.70695","2682.594",".4816713",".4873982",".497012",".4919945",".4922681",".5001003",".4433225",".4432963",".4516279",".4518128",".4276227",".4733381",".3785673",".3010804",".4409678",".489798",".4819375",".4913106","32.07378","15.98307","37.87906","16.37413",".547584",".7341161",".401856",".4420668",".4066083",".4167476",".4721546",".4327483",".3876585",".363609",".4509112",".4616941",".4115876","1.39119","48.58975",".3438855","1.147538",".4831059","34.40665","58.79163",".3858634","2.133207","81.26094",".4329092","2.420584","66.42104","105.4402","","","","",".9345823","28.70835","",".4788526","24.79764","866.5722",".5010435","2.416332","78.98835",".4750042",".4010296","244.807","251.5483","0",".4815373",".4750042",".5009706",".4898583",".203141",".2408692",".3137254",".2067625",".2734077",".2631701",".222183",".2696326",".3022788",".2423436",".1898131",".203141",".2137844",".248127",".175291",".2423436"
,"Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Var. to Calculate Weighted Stdev.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Derivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Deriv. Des.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
